,lsoa_code,lsoa_name,pop,centroid_id,latitude,longitude
83,E01000085,Barking and Dagenham 013E,1880,22834,51.53790436,0.150248136
84,E01000086,Barking and Dagenham 013F,1471,22833,51.53668149,0.146246975
85,E01000087,Barking and Dagenham 020B,1637,22831,51.53279665,0.151273246
86,E01000088,Barking and Dagenham 020C,2129,22847,51.53323432,0.155343964
87,E01000089,Barking and Dagenham 020D,1879,22845,51.53059853,0.160190421
88,E01000090,Barking and Dagenham 020E,1750,20751,51.52879733,0.15923135900000002
89,E01000091,Barking and Dagenham 022A,2080,20749,51.52763606,0.109243635
90,E01000092,Barking and Dagenham 019E,6055,24112,51.52690703,0.09812371199999999
91,E01000093,Barking and Dagenham 022B,1789,20746,51.52892448,0.10143563400000001
92,E01000094,Barking and Dagenham 022C,2326,20744,51.52559007,0.11561987800000001
93,E01000095,Barking and Dagenham 018E,1856,20742,51.52962012,0.128236761
94,E01000096,Barking and Dagenham 022D,1858,20741,51.5330133,0.115258788
95,E01000097,Barking and Dagenham 023C,1800,20739,51.56372991,0.12921296599999998
96,E01000098,Barking and Dagenham 023D,1805,20755,51.56072029,0.12691213
97,E01000099,Barking and Dagenham 023E,2487,20753,51.56145771,0.132505915
98,E01000100,Barking and Dagenham 004B,1779,21197,51.5596357,0.13893992800000002
99,E01000101,Barking and Dagenham 004C,1569,21199,51.55926772,0.144236405
100,E01000102,Barking and Dagenham 007G,1539,21193,51.55692735,0.131484376
101,E01000103,Barking and Dagenham 014A,1721,21195,51.53599274,0.166804225
102,E01000104,Barking and Dagenham 014B,2015,21189,51.53907283,0.166060239
103,E01000105,Barking and Dagenham 014C,2330,21191,51.54066151,0.15330091199999998
104,E01000106,Barking and Dagenham 014D,2184,21185,51.54029723,0.159158549
105,E01000107,Barking and Dagenham 010C,1777,21187,51.54134809,0.174070298
106,E01000108,Barking and Dagenham 010D,1909,21201,51.54244222,0.165191217
107,E01000109,Barking and Dagenham 004D,2864,21203,51.56268736,0.141082195
108,E01000110,Barking and Dagenham 002C,1485,23679,51.57396056,0.145657142
109,E01000111,Barking and Dagenham 002D,2058,23681,51.56858469,0.145707848
110,E01000112,Barking and Dagenham 002E,2132,23675,51.57061357,0.13921747199999998
111,E01000113,Barking and Dagenham 002F,1834,23677,51.56980616,0.133759771
112,E01000114,Barking and Dagenham 004E,2493,23671,51.56478508,0.148549777
113,E01032580,Barking and Dagenham 023F,1506,19525,51.56215457,0.122287861
114,E01033587,Barking and Dagenham 021E,2677,19955,51.53267635,0.076607923
115,E01033588,Barking and Dagenham 021F,1641,19964,51.53135124,0.079043645
116,E01000115,Barnet 009A,1319,23673,51.63626655,-0.142104185
117,E01000116,Barnet 009B,1722,23667,51.63367454,-0.146489758
118,E01000117,Barnet 010A,1791,23669,51.63285396,-0.156579114
119,E01000118,Barnet 010B,2169,23683,51.63114276,-0.151535234
120,E01000119,Barnet 009C,1756,23685,51.63075516,-0.135058079
121,E01000120,Barnet 009D,1466,20677,51.63225915,-0.140049675
122,E01000121,Barnet 010C,1463,20678,51.62751866,-0.148602953
123,E01000122,Barnet 009E,1439,24108,51.62603847,-0.138130082
124,E01000123,Barnet 010D,1780,20676,51.62181459,-0.143363731
125,E01000124,Barnet 010E,1783,20674,51.61821214,-0.143093842
126,E01000125,Barnet 024A,3307,20675,51.60482136,-0.26917276100000004
127,E01000126,Barnet 026A,2231,20672,51.60079303,-0.251477405
128,E01000127,Barnet 024B,1560,20673,51.60569532,-0.259318664
129,E01000128,Barnet 024C,1985,20679,51.6015513,-0.258726691
130,E01000129,Barnet 024D,1867,24109,51.60075761,-0.264998568
131,E01000130,Barnet 021A,1804,23183,51.60418187,-0.253808686
132,E01000131,Barnet 024E,2057,23184,51.59800867,-0.25529315
133,E01000132,Barnet 021B,1581,24167,51.60914866,-0.257437239
134,E01000133,Barnet 021C,1673,23182,51.60745636,-0.251762757
135,E01000134,Barnet 024F,1743,23181,51.60751806,-0.265636305
136,E01000135,Barnet 038A,1750,24166,51.568481,-0.202104002
137,E01000136,Barnet 038B,1649,23179,51.56760374,-0.192436314
138,E01000137,Barnet 041A,1689,23180,51.56451398,-0.200956882
139,E01000138,Barnet 040A,1590,23185,51.56394494,-0.205792607
140,E01000139,Barnet 041B,1632,23186,51.5601081,-0.20105346
141,E01000140,Barnet 041C,2169,20053,51.56236893,-0.19690579
142,E01000141,Barnet 039A,2258,20054,51.55838491,-0.21351800899999998
143,E01000142,Barnet 040B,2689,20051,51.56198183,-0.21137577100000002
144,E01000143,Barnet 041D,1559,20052,51.55813241,-0.209081155
145,E01000144,Barnet 038C,1798,20049,51.57435037,-0.199131106
146,E01000145,Barnet 037A,1736,20050,51.57306745,-0.20496166
147,E01000146,Barnet 038D,2180,20047,51.57110346,-0.19739556
148,E01000147,Barnet 030A,1886,20048,51.58975483,-0.24942687
149,E01000148,Barnet 030B,3180,20055,51.59259978,-0.254666821
150,E01000150,Barnet 036A,2239,22767,51.58623992,-0.244072989
151,E01000151,Barnet 026B,1766,22768,51.60147088,-0.24414228300000002
152,E01000152,Barnet 026C,2042,22765,51.60468149,-0.24517850600000002
153,E01000153,Barnet 026D,1767,22766,51.60476655,-0.24815546100000002
154,E01000154,Barnet 026E,1765,22763,51.59875888,-0.244028357
155,E01000155,Barnet 030D,5236,22764,51.59742949,-0.24881852100000001
156,E01000156,Barnet 022A,2195,22762,51.60008041,-0.148583618
157,E01000157,Barnet 022B,1661,24150,51.60305328,-0.144841304
158,E01000158,Barnet 015A,1492,22769,51.61598336,-0.152250293
159,E01000159,Barnet 015B,1809,22770,51.61886959,-0.1566928
160,E01000160,Barnet 015C,2242,24181,51.61425243,-0.14618630400000002
161,E01000161,Barnet 015D,2433,24061,51.61351711,-0.154368927
162,E01000162,Barnet 015E,1623,24059,51.61183982,-0.158608545
163,E01000163,Barnet 022C,1730,24060,51.6070924,-0.145124655
